0	13	100
0	18	42
0	18	51
0	18	85
0	8	40
0	12	72
0	10	46
0	10	121
0	10	103
1	13	73
1	18	23
1	18	20
1	18	36
1	18	22
1	18	58
1	8	128
1	12	72
1	10	59
1	10	62
1	10	107
1	10	52
1	10	89
2	13	18
2	18	28
2	18	39
2	18	102
2	8	68
2	12	113
2	10	63
2	10	67
2	10	34
2	10	90
2	10	75
3	13	92
3	18	30
3	18	82
3	18	86
3	18	111
3	18	130
3	8	33
3	12	72
3	10	108
3	10	37
4	13	47
4	18	45
4	18	104
4	18	56
4	8	83
4	12	113
4	10	31
4	10	64
5	11	21
5	0	69
5	9	53
5	19	115
5	19	78
5	19	15
5	19	60
5	19	29
5	19	101
6	11	81
6	0	66
6	9	118
6	9	79
6	9	17
6	19	76
6	19	49
6	19	65
6	19	98
6	19	87
6	19	120
6	19	32
7	11	21
7	0	129
7	9	118
7	19	123
7	19	93
7	19	27
7	19	74
7	19	117
7	19	24
8	11	21
8	0	41
8	9	96
8	19	112
8	19	116
9	11	38
9	0	122
9	9	118
9	9	79
9	19	25
10	16	5
5	15	10
10	2	114
10	2	127
10	2	54
10	2	88
10	17	121
10	17	55
10	17	80
10	14	26
11	16	6
6	15	11
11	2	110
11	2	16
11	17	119
11	14	26
12	16	8
8	15	12
12	2	125
12	2	57
12	2	94
12	2	95
12	17	19
12	17	71
12	17	126
12	14	26
13	16	9
9	15	13
13	2	106
13	2	109
13	2	105
13	2	77
13	17	97
13	17	48
13	17	43
13	17	70
13	14	84
14	16	7
7	15	14
14	2	124
14	2	50
14	2	35
14	2	44
14	17	31
14	17	61
14	17	89
14	14	99
0	5	5
0	6	10
1	5	9
1	6	14
2	5	5
2	6	10
2	5	6
2	6	11
3	5	8
3	6	13
4	5	5
4	6	10
4	5	6
4	6	11
4	5	7
4	6	12
5	7	0
5	7	1
6	7	2
6	7	0
7	7	2
9	7	3
0	1	5
5	3	0
0	4	10
1	1	6
6	3	1
1	4	12
3	1	5
5	3	3
3	4	10
